lat,lon,swing
32.2817,-110.9442,321
32.2822,-106.7597,340
32.2842,-83.4681,312
32.2997,-86.4075,318
32.3067,-95.2969,324
32.3094,-108.6531,355
32.3139,-97.4061,352
32.3161,-89.7994,305
32.3206,-90.0778,327
32.3211,-100.1211,351
32.3222,-110.4147,328
32.325,-109.4917,341
32.3333,-100.9167,349
32.3336,-104.2581,352
32.3347,-88.7442,321
32.335,-86.9786,315
32.3367,-90.2214,323
32.3378,-89.0817,330
32.3378,-89.0703,318
32.3403,-99.7475,349
32.3478,-104.2225,349
32.3483,-102.5517,339
32.35,-94.65,333
32.35,-91.0278,332
32.3542,-95.4025,333
32.3556,-93.6425,335
32.3567,-90.8444,317
32.36,-89.4208,315
32.3664,-99.1925,353
32.3697,-112.86,347
32.3744,-92.9433,336
32.375,-81.673,301
32.3778,-103.7986,344
32.3789,-106.0925,354
32.3847,-94.7117,333
32.385,-90.8753,326
32.3919,-93.7803,344
32.3953,-80.6956,290
32.3972,-82.0819,300
32.3978,-100.8594,352
32.3989,-98.8175,348
32.3994,-91.1842,332
32.4106,-99.6822,349
32.4111,-87.0144,320
32.4178,-110.9303,329
32.4219,-93.6381,342
32.4281,-96.8422,358
32.4419,-85.8889,313
32.4481,-100.5264,352
32.4506,-93.8411,335
32.4508,-93.8372,347
32.4514,-93.8417,337
32.4567,-87.2422,322
32.4567,-83.94,302
32.4714,-87.2314,324
32.4725,-94.7172,334
32.4833,-80.7167,290
32.4936,-91.7486,329
32.505,-80.2947,294
32.5067,-97.3442,354
32.5117,-94.5892,341
32.5133,-92.3486,342
32.5156,-92.0406,341
32.5158,-104.3828,349
32.5161,-84.9422,317
32.5181,-84.9378,317
32.5183,-94.7189,341
32.5192,-87.88,329
32.5217,-97.8069,359
32.5333,-80.9,286
32.5339,-96.6608,353
32.5342,-92.0669,343
32.5344,-92.6889,340
32.535,-103.9356,358
32.5403,-94.3508,340
32.5428,-93.745,334
32.55,-88.5667,327
32.5564,-108.3667,335
32.5575,-82.9036,326
32.5589,-96.2725,353
32.5667,-117.1167,75
32.5722,-116.9794,112
32.5806,-82.3822,298
32.5811,-88.1897,322
32.5861,-90.6261,330
32.5906,-86.2103,311
32.5992,-85.4653,305
32.6,-85.5,315
32.6025,-110.7344,344
32.6053,-93.2947,336
32.6064,-80.3267,299
32.6089,-85.0756,303
32.6094,-83.6164,318
32.6114,-114.635,351
32.6136,-106.7414,351
32.6161,-106.7403,349
32.6231,-109.9428,342
32.6233,-116.4728,287
32.6317,-107.8636,325
32.6328,-81.7756,310
32.635,-95.4822,347
32.64,-117.0858,72
32.6406,-96.9747,354
32.6433,-98.3181,356
32.6464,-111.4017,363
32.6475,-97.4439,355
32.65,-114.6167,350
32.65,-103.3833,336
32.6592,-85.4492,317
32.6636,-97.0939,353
32.6667,-114.6,354
32.6667,-85.9167,318
32.6694,-83.7453,311
32.6714,-90.0361,338
32.6775,-107.1958,337
32.68,-80.8417,283
32.6808,-96.8681,353
32.6847,-83.6528,317
32.6875,-84.5197,308
32.7,-117.2,82
32.7017,-96.015,363
32.7019,-87.5817,318
32.7047,-108.7281,333
32.705,-93.9608,345
32.71,-100.9111,353
32.71,-96.2672,356
32.7125,-103.3539,338
32.7128,-82.5414,319
32.7131,-102.6467,354
32.7167,-95.3667,342
32.7169,-87.6225,328
32.7225,-113.9192,349
32.7228,-101.9456,357
32.7247,-88.6631,329
32.7264,-103.1314,350
32.7278,-114.6217,364
32.7278,-95.1922,345
32.7294,-99.3017,352
32.7306,-111.6917,372
32.7333,-96.9667,361
32.7336,-117.1831,91
32.7464,-95.0497,339
32.7481,-109.1214,351
32.7483,-97.77,355
32.7489,-99.8528,364
32.75,-98.9017,360
32.7506,-89.5389,327
32.7547,-104.3836,347
32.7572,-97.0736,360
32.76,-79.8489,292
32.7622,-88.6494,336
32.7667,-97.45,356
32.7669,-115.5617,338
32.7672,-117.2258,79
32.7675,-117.0233,138
32.7681,-94.3561,338
32.7692,-92.0056,341
32.7692,-89.1303,328
32.7744,-101.4539,339
32.775,-92.4075,339
32.78,-79.9319,276
32.7817,-98.0603,350
32.7819,-111.5186,348
32.7822,-106.1758,371
32.7939,-108.1514,319
32.8067,-91.173,352
32.81,-93.0625,338
32.8111,-104.7336,335
32.8136,-97.5756,355
32.8139,-116.975,168
32.815,-109.6808,355
32.8158,-117.1394,122
32.8167,-115.6833,341
32.8167,-95.9167,357
32.8192,-97.3614,362
32.8203,-86.6522,329
32.8236,-85.6561,324
32.8242,-95.5275,355
32.8294,-83.2389,314
32.8331,-108.5036,334
32.8339,-97.2975,354
32.8342,-115.5786,354
32.8347,-88.1342,337
32.835,-114.1883,358
32.8356,-114.3942,355
32.8358,-116.7775,213
32.8369,-88.1375,331
32.8442,-81.1244,294
32.8472,-97.4761,367
32.8489,-115.5667,338
32.8517,-86.6114,323
32.8519,-96.8556,364
32.8522,-95.8864,371
32.8547,-109.6353,369
32.8556,-100.4611,358
32.8567,-103.7625,361
32.8661,-87.2383,330
32.8667,-117.1333,124
32.8672,-116.4194,321
32.8692,-97.449700000000007,363
32.8694,-85.1892,323
32.8703,-81.9672,306
32.8711,-95.7797,341
32.8711,-86.1758,315
32.8753,-82.2156,312
32.8833,-114.8667,373
32.8833,-92.1164,341
32.8839,-116.8164,221
32.8847,-80.6761,300
32.8864,-89.9775,322
32.8878,-111.7117,361
32.8967,-107.3092,358
32.8978,-97.0189,365
32.8978,-90.8853,357
32.8986,-80.0403,286
32.9028,-90.3817,343
32.9028,-84.3367,314
32.9069,-85.4336,320
32.9081,-93.7956,343
32.9161,-105.3381,279
32.9181,-105.955,351
32.9203,-107.5656,339
32.9203,-94.7225,348
32.9206,-86.6708,325
32.9258,-94.9397,356
32.9308,-106.9328,353
32.9325,-108.0142,306
32.9403,-99.8036,375
32.9453,-85.9481,323
32.9481,-112.7131,367
32.9506,-97.0553,364
32.9539,-105.8225,303
32.9544,-115.5581,342
32.9544,-105.7353,284
32.9619,-102.8219,336
32.9711,-113.4981,348
32.9733,-97.3181,367
32.9744,-82.8045,314
32.9897,-116.5872,301
32.9947,-111.5367,371
32.9964,-96.7428,358
33.0094,-109.9855,355
33.0114,-116.9081,216
33.0125,-82.3914,316
33.0161,-83.9417,309
33.0167,-81.3167,311
33.0286,-84.735,305
33.0353,-96.4861,361
33.0364,-111.3881,350
33.0367,-80.2325,294
33.0375,-116.9158,221
